Price,Close,High,Low,Open,Volume,Close_100
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,
Date,,,,,,
2024-04-11,425.5392150878906,426.9711724620608,420.00032651884925,423.4410178927454,17966400,115.59882531482369
2024-04-12,419.54290771484375,422.804581678046,417.42480282053265,421.68088994748047,19232100,113.96991295146448
2024-04-15,411.3290710449219,424.43542911406485,411.12022243295877,424.21665700659,20273500,111.73860303523342
2024-04-16,412.2637939453125,416.06245949451596,411.4185670381559,412.2538704497416,16765600,111.99252292192989
2024-04-17,409.5390930175781,416.53976983372166,408.0375195051445,414.91887160320215,15855500,111.25235088745535
2024-04-18,402.0113830566406,409.5888365595163,401.6931939204708,408.3358663111444,21029900,109.20742906135446
2024-04-19,396.8901672363281,403.21465058171344,395.54770342907875,401.77273939113434,30276500,107.81623757530177
2024-04-22,398.7198791503906,400.5993345281771,393.5389952527112,397.84479074255864,20286900,108.31328353588728
2024-04-23,405.29296875,405.9194538806366,400.8081557996997,401.98155601580095,15734500,110.09888027870917
2024-04-24,406.7746276855469,410.1655800601119,404.50736699003204,407.2718342446254,15065300,110.50137674999456
2024-04-25,396.81060791015625,397.65586510602816,385.86211007876,391.8285886184499,40586500,107.79462507915048
2024-04-26,404.0499572753906,410.6926298157454,403.49308834069507,409.8672802562405,29694700,109.76121300569883
2024-04-29,400.002685546875,404.04995430979096,396.95978376637936,402.98592496673984,19582100,108.66176120206265
2024-04-30,387.15484619140625,399.91318350003166,386.99576679782797,399.24691335771746,28781400,105.17161250444147
2024-05-01,392.7335205078125,399.4756402555506,388.129382901202,390.41652094109105,23562500,106.68707377081934
2024-05-02,395.6173095703125,397.6956293365983,392.4451293093816,395.43832249311964,17709400,107.47046250741764
2024-05-03,404.3880310058594,404.87528370911673,399.61482996343045,400.03249681413615,17446700,109.85305160652888
2024-05-06,411.2296142578125,411.61741959801225,404.09965876333644,406.4763207105219,16996600,111.7115853424996
